Term	Frequency
league		441
related		440
ships		439
see		438
terms		437
industry		437
forms		435
towards		435
entire		435
species		433
bbc		433
declared		432
seven		432
property		430
fire		430
gusts		430
free		428
present		428
move		428
8		428
students		428
enough		427
outer		426
open		426
does		425
momentum		423
others		423
7		423
native		423
vertical		422
operations		422
japanese		421
show		421
recent		419
her		419
produce		418
size		418
outside		418
army		418
news		417
25		417
24		417
monsoon		415
eyewall		414
said		413
family		413
commercial		413
case		412
officials		412
angular		411
bahamas		411
primarily		410
prior		410
orbit		409
study		409
electricity		409
bush		408
republic		408
congress		408
economy		407
2017		406
minor		405
height		404
nuclear		404
oil		404
path		404
features		402
original		401
ridge		401
retired		401
growth		401
opened		401
relatively		400
directly		400
television		400
gas		400
la		399
turned		399
reports		399
rotation		398
referred		397
culture		397
2003		395
structure		394
zone		394
middle		394
management		394
initially		393
today		393
beginning		393
environment		392
flooded		392
centers		390
becoming		390
standard		390
nasa		389
construction		389
westward		388
started		388
fall		388
strongest		387
census		387
develop		386
polar		386
delaware		384
administration		383
leading		383
replaced		383
private		383
seasons		382
dropped		382
must		381
followed		380
nature		378
living		378
responsible		376
provides		375
9		375
response		375
death		374
limited		371
southwest		371
described		370
widespread		370
moderate		370
relief		370
groups		369
hawaii		369
help		368
organized		368
sun		368
marine		367
reach		366
india		366
eight		366
smaller		365
loss		365
should		365
ontario		365
environmental		364
movement		364
reaching		364
majority		363
taken		363
losses		363
division		363
published		361
member		361
won		360
model		359
constitution		359
best		358
roughly		358
required		358
fell		357
ten		356
province		356
spacecraft		356
scientific		356
languages		356
rains		356
eventually		355
distance		355
date		355
100		354
measured		354
extreme		354
spring		354
citys		354
lead		353
past		353
type		352
coriolis		351
teams		351
george		351
evacuated		351
position		350
cross		350
currently		350
ii		350
previous		350
communities		350
source		349
short		349
ship		349
came		349
lightning		349
active		348
future		348
increasing		347
road		347
event		347
library		347
mountains		346
equator		345
types		345
independent		345
normal		345
rapid		344
ohio		344
museum		344
norfolk		343
thousands		342
toward		341
died		341
14		340
historic		340
nation		339
haiti		339
17		339
how		338
never		338
network		338
experienced		337
intensified		337
watch		337
business		337
likely		336
bridge		336
announced		336
direct		335
canadian		335
nearby		335
design		335
latitude		334
13		334
southeastern		333
james		333
relative		332
leaving		332
aid		332
art		332
weakening		331
europe		331
forecasts		331
warming		331
velocity		331
ever		330
efforts		330
forced		330
programs		330
territory		330
remnants		329
16		329
wide		329
galveston		329
sound		329
soyuz		329
slightly		328
band		328
trough		328
fort		328
results		327
transportation		327
axis		326
thunderstorm		326
locations		326
rather		325
significantly		325
means		325
models		325
naval		325
russian		325
philippines		324
german		324
served		324
elected		324
commonly		323
particular		323
remains		323
suffered		323
close		323
special		323
street		323
media		322
itself		320
radiation		319
maine		319
coastline		318
instead		318
objects		318
noted		318
banks		318
medical		318
founded		318
party		317
arabic		316
juan		316
crops		316
variety		315
income		315
therefore		314
records		314
saint		314
longer		313
greek		313
guard		313
bodies		312
oceans		312
combined		312
film		312
hot		311
australia		311
key		310
constant		310
rise		309
football		309
month		309
hundreds		309
hamilton		309
transfer		309
board		309
causes		308
hour		308
28		308
dc		308
americans		308
metropolitan		308
plan		307
shore		306
originally		306
21		306
portions		305
him		305
thermal		304
26		304
traditional		304
facilities		304
association		304
church		304
campus		304
value		303
hampton		303
extended		303
together		303
offshore		303
song		303
layer		301
right		301
passage		301
officially		300
designed		300
border		300
jet		299
via		299
mean		299
classified		299
plants		299
urban		299
lakes		298
crop		298
towns		298
route		298
27		297
section		297
asia		297
evacuation		296
cultural		296
channel		295
additionally		295
sent		295
word		294
head		294
50		293
lack		293
technology		293
developing		292
unit		291
ranked		291
mexican		291
upgraded		291
lesser		290
19th		290
role		289
2001		289
liquid		289
social		289
access		288
richmond		287
surrounding		286
density		286
we		286
satellites		285
nhc		285
20th		285
rhode		285
moisture		284
floods		284
jacksonville		284
allowed		284
pittsburgh		284
cycle		283
went		283
units		283
cases		283
rail		283
slowly		282
dust		282
electric		282
downed		282
branch		282
written		282
influence		281
completed		281
northward		281
person		281
france		281
fish		280
largely		280
games		280
resources		280
portuguese		279
29		279
speeds		278
sources		278
highway		278
daily		278
points		278
grand		278
separate		277
certain		277
able		276
utc		276
rest		276
foreign		276
estimates		275
22		275
agricultural		275
completely		274
compared		274
kilometres		274
stated		274
23		274
boundary		273
lowest		273
weak		273
turn		273
nine		273
miami		272
election		272
arts		272
minimum		271
worst		271
supplies		271
downtown		271
mainly		269
observations		269
debris		269
introduced		269
sports		269
council		269
places		268
passing		268
nio		268
mainland		268
19		268
michigan		268
nova		267
northeastern		266
bill		266
subsequently		265
companies		265
divided		265
night		265
played		265
orleans		265
presidential		265
tax		265
uses		264
australian		264
equal		263
increases		263
joint		263
studies		263
better		263
pattern		263
valley		263
earlier		262
live		262
gradually		261
amounts		261
noaa		261
structures		261
battle		261
reference		260
antilles		260
chesapeake		260
society		260
police		260
historical		259
shortly		259
california		259
specific		259
core		258
fourth		258
start		258
full		258
object		258
massachusetts		258
difference		257
create		257
volume		257
powerful		256
organizations		256
isabel		255
presence		255
phase		255
brazil		254
falls		254
strengthened		254
working		254
hail		254
game		254
latitudes		253
consists		253
assembly		253
initial		253
stronger		252
allow		252
remaining		252
tree		252
travel		252
colonial		252
issues		251
week		251
attained		251
equipment		251
children		251
universities		251
rock		251
need		250
naming		250
lists		249
vehicle		249
cost		249
she		248
older		248
fishing		248
executive		248
independence		248
remain		247
bangladesh		247
analysis		247
meteorology		247
physical		247
supply		247
bengal		247
shelters		246
scotia		246
soviet		246
worldwide		245
stream		245
notable		245
shows		245
added		245
mountain		245
return		244
complex		244
georgia		244
centre		244
authority		243
vehicles		243
whose		243
traffic		243
behind		242
placed		242
destruction		241
erosion		241
engine		240
multiple		240
category4		240
agencies		240
feature		239
altitude		239
flights		239
forecasting		239
conducted		239
particles		239
william		239
continental		239
indicated		238
severely		238
category5		238
distribution		238
works		238
contains		237
professional		237
oldest		237
families		237
harbor		236
rotating		235
normally		235
respectively		235
numbers		235
peaked		235
policy		235
2002		235
king		235
designated		234
dissipated		234
persian		234
material		234
governments		234
industrial		234
entered		234
slaves		234
currents		233
plane		233
watches		233
guam		233
reduced		233
training		233
complete		233
transport		232
citizens		232
institute		232
stage		232
mobile		232
cover		231
falling		231
flash		231
carbon		231
settlement		231
colony		231
equivalent		230
except		230
engineering		230
minutes		230
agriculture		230
pollution		230
hall		230
asian		229
convective		229
verde		229
weeks		229
democratic		229
scientists		228
wet		228
kingdom		228
secondary		227
capacity		227
bridges		227
threat		227
already		227
forming		227
products		227
royal		227
republican		227
soon		226
needed		225
saw		225
maintained		225
morning		225
market		225
becomes		224
carried		224
infrastructure		224
washed		224
missions		224
operates		224
eg		224
product		224
financial		224
districts		224
factors		223
plant		223
indigenous		223
countrys		223
risk		222
disturbance		222
operated		222
you		222
40		221
alone		221
changed		221
too		221
bands		221
individual		221
orbital		221
fuel		221
degree		221
book		221
powerpoint		221
electrical		220
damages		220
operation		220
fluid		220
version		220
arrived		220
conference		220
katrina		219
strike		219
meaning		219
rising		218
spain		218
cooling		217
favorable		217
dominican		217
previously		216
outages		216
visible		216
crossed		216
returned		216
freezing		216
affect		215
reconnaissance		215
exist		215
michael		215
palm		215
plans		215
might		215
offices		215
collection		214
latin		214
train		214
committee		214
origin		213
definition		213
allowing		213
korea		213
highly		213
always		213
processes		212
jtwc		212
approach		212
gust		212
activities		212
facility		212
covered		212
women		212
31		212
real		211
minimal		211
assistance		211
forest		211
bank		211
tropics		210
course		210
applied		210
failed		210
serve		210
crossing		210
bermuda		210
memorial		210
play		209
evidence		209
totaled		209
student		209
growing		209
spread		209
religious		209
warmer		208
houston		208
determined		208
m		208
values		207
whether		207
article		207
businesses		207
commonwealth		207
jamaica		207
decades		206
men		206
low-pressure		205
moves		205
c		205
rights		205
yucatn		205
alabama		205
internal		204
contrast		204
tracked		204
length		204
supreme		204
railroad		204
producing		203
thought		203
rocket		203
module		203
horizontal		202
measure		202
run		202
rare		202
rural		202
man		202
vote		202
fact		201
positive		201
housing		201
acid		201
defense		201
korean		201
diameter		200
cooler		200
vapor		200
tend		200
era		200
tourism		200
predicted		200
proposed		200
done		200
themselves		200
constructed		200
tides		200
map		200
boats		200
duration		199
oceanic		199
southwestern		198
generated		198
providing		198
workers		198
budget		198
usa		198
spoken		198
determine		197
characteristics		197
silver		197
successful		197
aboard		197
signed		197
legislature		197
seas		196
cool		196
extremely		196
radius		196
creating		196
upper-level		196
release		196
fully		196
quality		196
gave		196
makes		196
peoples		196
northwestern		195
andrew		195
landing		194
met		194
class		194
convention		194
infrared		193
distinct		193
continue		193
gradient		193
command		193
examples		193
protection		193
evacuate		193
sector		193
clear		192
arrival		192
good		192
pass		192
abc		192
vortex		191
recently		191
cut		191
removed		191
put		191
corps		191
security		191
ie		190
survey		190
metro		190
jma		190
median		190
senate		190
seasonal		189
come		189
1998		189
account		189
frequency		189
serves		189
expansion		189
unique		189
heavily		189
combination		188
yet		188
hatteras		188
rates		188
ordered		188
communications		188
basis		188
extent		188
widely		188
germany		188
railway		188
mayor		188
occurring		187
decrease		187
depth		187
1995		187
video		187
laws		187
born		187
belize		187
ultimately		186
believed		186
weapons		186
derived		186
intensification		186
quebec		186
hawaiian		186
hospital		186
finally		185
1970s		185
fields		185
chief		185
shown		185
ancient		185
dutch		185
theory		185
personnel		185
revolution		185
advisories		184
performed		184
fog		184
droplets		184
heating		183
assigned		183
periods		183
typical		183
institutions		183
blue		183
charles		183
words		183
b		183
thomas		183
roof		183
commission		183
depending		182
begins		182
absorbed		182
animals		182
impacts		182
identified		182
humid		182
progress		182
safety		182
afternoon		182
ahead		182
vary		181
200		181
latter		181
1997		181
frequently		181
planned		181
ended		181
minister		181
refers		180
subsequent		180
frame		180
reduce		180
greatly		180
measurements		180
contributed		180
fleet		180
matter		180
dates		180
inner		179
takes		179
recognized		179
sites		179
composed		179
parallel		179
race		179
rule		179
slow		179
acres		179
interaction		178
creek		178
arctic		178
owned		178
empire		178
charge		178
shape		177
component		177
get		177
1996		177
veracruz		177
masses		177
1999		177
w		177
materials		177
starting		177
lows		177
action		177
elections		177
prevent		176
convergence		176
fronts		176
marked		176
decided		176
canal		176
immigrants		176
projects		175
peaking		175
broad		175
centuries		175
confirmed		175
problems		175
listed		175
dead		175
championship		175
robert		175
flows		174
phenomenon		174
philippine		174
honduras		174
involved		174
maintain		174
annually		174
joined		174
regular		174
strengthening		174
claimed		174
troposphere		173
greatest		173
outflow		173
patterns		173
lives		173
differences		173
permanent		173
connecticut		173
characterized		172
estimate		172
tracks		172
cod		172
offers		172
provinces		172
headquarters		172
responsibility		171
test		171
plains		171
go		171
director		171
funding		171
troops		171
zones		170
homeless		170
roofs		170
interstate		170
philadelphia		170
low-level		169
edge		169
onto		169
computer		169
injured		169
solid		169
impacted		169
properties		169
difficult		168
tip		168
receive		168
barometric		168
transit		168
hpa		168
emerged		168
oscillation		167
begin		167
streets		167
transferred		167
expanded		167
adopted		167
hill		167
basins		166
components		166
eastward		166
fifth		166
elements		166
continues		166
subject		166
prediction		166
green		166
maps		166
degrees		165
cargo		165
dam		165
existing		165
contact		165
lies		165
title		165
replacement		164
populations		164
tracking		164
fatalities		164
1960s		164
erie		164
david		164
call		164
wall		164
staff		163
recovery		163
prime		163
weight		163
baseball		163
discovered		162
usd		162
madagascar		162
advance		162
sand		162
domestic		162
labor		162
index		162
cyclonic		161
leads		161
taking		161
runs		161
mountainous		161
issue		161
hurricane-force		161
operational		161
astronauts		161
emissions		161
60		161
uk		161
settlers		161
ethnic		161
content		160
allows		160
represented		160
mount		160
ferry		160
sciences		160
wrote		160
earliest		160
basketball		160
focus		160
transition		159
dollars		159
moon		159
operating		159
give		159
agreement		159
mark		159
performance		159
immediately		159
catholic		159
personal		158
amtrak		158
customers		158
approved		158
treaty		158
maritime		158
festival		158
americas		158
mile		158
simply		157
imagery		157
1990		157
featured		157
colleges		157
ashore		157
courts		157
beyond		156
1970		156
populated		156
1991		156
ports		156
problem		156
britain		156
varies		155
negative		155
suggested		155
communication		155
1992		155
interest		155
digital		155
65		155
style		155
sales		155
rescue		154
success		154
1990s		154
500		154
mediterranean		154
assessment		154
needs		153
bring		153
experience		153
car		153
approached		153
our		153
interior		153
individuals		153
insurance		153
moist		152
dense		152
brazilian		152
dangerous		152
delta		152
laboratory		152
engineers		152
appears		152
classification		152
big		152
hong		152
legal		152
boat		152
quantity		151
appear		151
toll		151
sandy		151
1980s		151
spent		151
sold		151
pad		151
story		151
paper		151
exchange		150
cantonese		150
archipelago		150
ability		150
soil		150
astronaut		150
view		150
hundred		150
v		150
reaches		149
decreased		149
serving		149
running		149
whole		149
require		149
passenger		149
basic		149
forests		149
literature		149
giving		149
aviation		149
households		149
dollar		149
whom		149
opposite		148
powers		148
spawned		148
attributed		148
typhon		148
killing		148
ipcc		148
evacuations		148
external		148
victims		148
journal		147
saffir–simpson		147
potomac		147
s		147
raised		147
mixed		147
planets		147
f		147
grew		147
influenced		146
frontal		146
wake		146
going		146
poor		146
academic		146
concept		146
poles		146
del		146
code		146
club		146
alexandria		146
large-scale		145
practice		145
decade		145
damaging		145
forward		145
angle		145
wing		145
supported		145
approaching		145
acceleration		145
classical		145
elevation		145
virgin		145
boston		145
gold		145
legislative		145
secretary		145
metres		144
turning		144
books		144
increasingly		144
prepared		144
cemetery		144
method		144
measurement		144
newfoundland		144
charter		144
parish		144
historically		143
inside		143
affecting		143
low-lying		143
isolated		143
sections		143
chemical		143
possibly		143
parks		143
methods		143
tons		143
j		143
nicaragua		143
rican		143
stadium		142
factor		142
occasionally		142
terrain		142
costs		142
female		142
cars		142
bus		142
bringing		142
helped		142
jobs		142
swept		142
creation		142
d		142
academy		142
drought		141
ratio		141
episode		141
super		141
1979		141
steadily		141
generation		141
scheduled		141
signs		141
notably		141
routes		141
slave		141
adjacent		141
village		141
leader		141
keys		141
womens		141
highways		141
protect		140
necessary		140
humidity		140
elsewhere		140
thereafter		140
rough		140
corporation		140
e		140
kong		140
vector		140
gravitational		140
planet		139
seeding		139
upwelling		139
share		139
windows		139
connected		139
particle		139
territories		139
worked		139
maria		139
caicos		139
aloft		138
specifically		138
phenomena		138
destructive		138
true		138
trend		138
substantial		138
build		138
shelter		138
esa		138
actually		138
famous		138
briefly		138
hockey		138
1988		138
leaders		138
signal		138
money		138
alternative		137
twice		137
shipping		137
1994		137
1993		137
al		137
assist		137
tourists		137
intended		137
crystals		137
wilma		137
cup		137
online		137
broadcast		137
gives		136
function		136
mudslides		136
airports		136
engines		136
industries		136
roman		136
database		136
instability		135
savannah		135
salt		135
italian		135
structural		135
colonies		135
opening		135
press		135
gale		134
cannot		134
greenhouse		134
actual		134
category3		134
arlington		134
physics		134
contain		134
stars		134
lee		134
meet		134
gdp		134
broadcasting		134
kennedy		134
statistical		133
flying		133
typhoons		133
usage		133
effort		133
oxygen		133
avoid		133
post		133
campaign		133
dissipating		133
tano		133
weaken		132
efficiency		132
ways		132
delivered		132
streams		132
1971		132
settled		132
writing		132
equation		132
r		132
tower		132
neighboring		132
appointed		132
rainbands		131
forecasters		131
deadliest		131
2003usd		131
broke		131
visitors		131
gravity		131
prominent		131
comes		131
coming		131
measures		131
tide		131
am		131
advisory		131
coal		131
heritage		131
representatives		131
cayman		131
helms		131
indicate		130
gases		130
beaches		130
sugar		130
showed		130
planning		130
authorities		130
foundation		130
defeated		130
manhattan		130
partially		129
otherwise		129
18th		129
refer		129
providence		129
care		129
deployed		129
h		129
pilot		129
upward		129
here		129
capita		129
vast		128
net		128
1900		128
funds		128
newly		128
massive		128
franklin		128
irma		128
speakers		128
mechanical		127
understanding		127
nia		127
trains		127
commander		127
offer		127
vessels		127
evening		127
winters		127
forcing		127
present-day		127
capable		126
farther		126
equatorial		126
1975		126
tradition		126
failure		126
hence		126
religion		126
turks		126
achieved		126
reserve		126
renamed		126
theatre		126
circular		125
concentrated		125
specialized		125
jefferson		125
formerly		125
advanced		125
installed		125
produces		125
frequent		125
stationary		125
unknown		125
technique		125
ancestry		125
christian		125
residential		125
rose		125
officers		125
passes		124
remnant		124
god		124
bc		124
inlet		124
diverse		124
find		124
considerable		124
unlike		124
gained		124
pakistan		124
henry		124
resolution		124
municipalities		124
expressed		124
newport		124
cirrus		123
magnitude		123
condensation		123
sign		123
techniques		123
salinity		123
100,000		123
improved		123
-		123
reasons		123
hosted		123
hold		123
sides		123
cell		123
meters		123
offered		123
martin		123
manufacturing		123
accurate		122
knots		122
appeared		122
appearance		122
block		122
search		122
operate		122
pay		122
kilometers		122
boundaries		122
lived		122
snowfall		122
output		122
letters		122
immigration		122
ncaa		122
existence		121
poleward		121
describe		121
torrential		121
selected		121
break		121
crews		121
ball		121
distributed		121
channels		121
covers		121
fixed		121
climates		121
fema		121
carry		120
maintains		120
losing		120
excess		120
limit		120
lawrence		120
docked		120
1985		120
passengers		120
attempt		120
1950s		120
1972		120
effective		120
london		120
presidents		120
songs		120
pressures		119
zero		119
shift		119
strengthen		119
long-term		119
costliest		119
entirely		119
canceled		119
restored		119
experiments		119
medicine		119
critical		119
incorporated		119
worth		119
percentage		119
blown		119
1965		119
poverty		119
rises		118
separated		118
hand		118
relationship		118
images		118
grid		118
closely		118
architecture		118
1,000		118
accelerated		118
directed		118
1969		118
prince		118
armed		118
ace		118
represents		117
paul		117
temporary		117
docking		117
keep		117
situated		117
claims		117
technical		117
continuing		117
figure		117
populous		117
temperate		116
localized		116
converted		116
controlled		116
purposes		116
doppler		116
formal		116
heights		116
myrtle		116
goal		116
applications		116
entering		116
1980		116
branches		116
alert		116
projected		116
desert		116
santa		116
races		116
situation		116
internet		116
calculated		115
meeting		115
deal		115
reason		115
10,000		115
2017usd		115
hosts		115
orbiter		115
drive		115
municipal		115
females		115
letter		115
review		115
grant		115
conservation		114
balance		114
colder		114
enthalpy		114
linked		114
cyclogenesis		114
high-pressure		114
longest		114
intensify		114
mid-atlantic		114
officer		114
agreed		114
knowledge		114
pronounced		114
varieties		114
figures		114
color		114
neighborhoods		114
taxes		114
mens		114
graduate		114
hispanic		114
flowing		113
acts		113
300		113
hunters		113
meridian		113
coverage		113
tidal		113
aftermath		113
documents		113
discovery		113
projections		113
bowl		113
instance		113
cotton		113
luis		113
rita		113
tour		113
extends		112
observation		112
successfully		112
ike		112
remote		112
reporting		112
declaration		112
continuous		112
improve		112
migration		112
sufficient		112
useful		112
ranging		112
easily		112
millions		112
45		112
captain		112
attack		112
settlements		112
georges		112
amounted		112
haitian		112
veterans		112
fly		111
90		111
serious		111
lasted		111
comma		111
windward		111
ago		111
accompanied		111
newspaper		111
reservoir		111
bob		111
vegetation		110
leave		110
sample		110
changing		110
principal		110
tribes		110
fires		110
magazine		110
centered		110
revenue		110
missing		110
violent		109
weaker		109
plays		109
managed		109
standards		109
concluded		109
inundated		109
connecting		109
locally		109
telephone		109
tourist		109
bottom		109
ranges		109
musical		109
orange		109
arabian		109
1973		109
hospitals		109
household		109
hispaniola		109
consumption		108
modules		108
occupied		108
dedicated		108
stable		108
barrier		108
representing		108
vice		108
descent		108
los		108
renewable		108
sport		108
dr		108
drowned		108
latent		107
dominant		107
category2		107
dominion		107
consisting		107
tank		107
chosen		107
pole		107
strongly		107
seconds		107
suspended		107
1989		107
receiving		107
t		107
1968		107
drop		106
concentration		106
coasts		106
electronic		106
west-northwest		106
somewhat		106
stay		106
immediate		106
zealand		106
establishment		106
corn		106
inhabitants		106
knocked		106
brunswick		106
civilian		106
literary		106
awarded		106
affairs		106
doi		106
researchers		105
educational		105
unusual		105
repair		105
russia		105
exposed		105
sky		105
modified		105
variation		105
stone		105
rice		105
1954		105
gauge		105
plate		105
johnson		105
trading		105
discontinued		105
voters		105
rarely		104
pagasa		104
potentially		104
mandatory		104
commerce		104
ones		104
simple		104
experiment		104
endeavour		104
resistance		104
rich		104
driven		104
accepted		104
landslides		104
updraft		104
coordinate		104
leeward		104
fund		104
dominica		104
humans		103
equilibrium		103
80		103
depends		103
table		103
tends		103
preparation		103
relations		103
accounts		103
calendar		103
sets		103
1950		103
founding		103
jurisdiction		103
banana		103
johns		103
confederate		103
circle		102
vorticity		102
meteorologists		102
opposed		102
maya		102
identify		102
azores		102
safe		102
monitoring		102
seat		102
idea		102
requires		102
dominated		102
variations		102
reduction		102
recording		102
l		102
represent		102
acquired		102
floor		102
threatened		102
steel		102
dating		102
authors		102
neighborhood		102
employees		102
studio		102
championships		102
round		101
saffir-simpson		101
ivan		101
reading		101
mouth		101
mars		101
magnetic		101
measuring		101
seats		101
demand		101
injuries		101
well-defined		101
lands		101
collapsed		101
effectively		101
goods		101
ranks		101
hampshire		101
isle		101
temporarily		100
1961		100
films		100
spacewalk		100
carrying		100
exposure		100
contained		100
protected		100
award		100
jr		100
justice		100
vietnam		100
strategic		100
declined		100
father		100
hotel		100
granted		100
enhanced		99
respect		99
issuing		99
eleven		99
closer		99
charged		99
processing		99
cells		99
panel		99
displaced		99
synoptic		99
follow		99
1935		99
allied		99
attacks		99
totals		99
rio		99
honor		99
1976		99
publication		99
guatemala		99
cycles		98
astronomical		98
fewer		98
21st		98
northwestward		98
follows		98
narrow		98
funded		98
whereas		98
grow		98
surfaces		98
hills		98
geographic		98
volcanic		98
etc		98
exists		98
kind		98
16th		98
athletic		98
broken		98
medium		98
devastated		98
merged		98
sixth		98
